Supermarket,EAN,Product Name,Category,Price (DKK),Quantity,Stock
Lidl,6789012340015,Ice Cream,Dairy,21.50,liter,15
Lidl,7890123450016,Spaghetti,Pasta,4.50,kg,1000
Lidl,8901234560017,Rice,Grocery,11.50,kg,800
Lidl,9012345670018,Couscous,Grocery,8.25,kg,500
Lidl,1234567890019,Quinoa,Grocery,20.00,kg,300
Lidl,2345678900020,Penne Pasta,Grocery,6.00,kg,1200
Lidl,3456789010021,Orange Juice,Beverages,12.00,liter,25
Lidl,4567890120022,Coffee,Beverages,34.00,kg,30
Lidl,5678901230023,Green Tea,Beverages,15.00,pack,40
Lidl,6789012340024,Soda,Beverages,6.25,liter,50
Lidl,7890123450025,Mineral Water,Beverages,3.75,liter,100
Lidl,8901234560026,Towel,Household,10.25,pack,60
Lidl,9012345670027,Flashlight,Electronics,14.50,unit,15
Lidl,1234567890028,Candle,Household,5.25,pack,80
Lidl,2345678900029,Sunscreen,Personal Care,17.75,unit,20
Lidl,3456789010030,Notebook,Stationery,21.50,unit,30
